,Mean,STD,Total
#Tokens,28142320.913043477,3325679.8233262007,647273381
#Tweets,3517391.304347826,457167.3394771164,80900000
#Users,2447.608695652174,19.47665066043483,56295
Vocabulary,328614.5652173913,26191.651277087385,7558135
